,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id
687,49,56,97,f,Private room,1,1,1,0,Kallang,Central Region,32777995
688,125,158,89,t,Entire home/apt,1,0,5,0,Bukit Merah,Central Region,47912647
689,529,210,30,f,Entire home/apt,2,3,0,363,Kallang,Central Region,53910434
690,56,64,25,t,Private room,1,1,29,232,Jurong East,West Region,7927886
691,397,110,0,f,Private room,1,1,1,0,Southern Islands,Central Region,23654269
692,333,222,91,t,Entire home/apt,1,1,0,165,River Valley,Central Region,41158163
693,50,97,41,f,Private room,1,1,1,324,Newton,Central Region,23211763
694,137,159,89,t,Entire home/apt,1,1,7,0,Downtown Core,Central Region,29972407
695,65,98,65,f,Private room,1,2,9,90,Newton,Central Region,17740089
696,189,182,88,t,Entire home/apt,0,1,0,346,Novena,Central Region,53122920
697,192,108,96,f,Private room,1,1,0,362,Rochor,Central Region,50986159
698,65,64,65,f,Private room,1,1,3,0,Jurong East,West Region,40712903
699,50,77,0,f,Private room,1,1,0,0,Central Water Catchment,North Region,52291618
700,230,189,71,f,Entire home/apt,1,1,2,261,Queenstown,Central Region,21791154
701,48,89,50,f,Private room,1,1,0,228,Clementi,West Region,34990577
702,651,156,100,f,Entire home/apt,1,1,14,117,Kallang,Central Region,29554536
703,50,90,0,f,Private room,1,1,0,0,Pasir Ris,East Region,31879525
704,90,118,84,f,Entire home/apt,1,1,1,90,Geylang,Central Region,50116380
705,378,268,41,f,Entire home/apt,2,2,2,364,Queenstown,Central Region,22092656
706,104,67,0,f,Private room,1,4,0,0,Kallang,Central Region,37581097
707,65,118,0,f,Entire home/apt,1,1,1,167,Geylang,Central Region,38692545
708,65,61,93,f,Private room,1,1,60,67,Geylang,Central Region,31201327
709,313,240,31,f,Entire home/apt,1,1,1,364,Central Water Catchment,North Region,36009935
710,68,86,84,f,Entire home/apt,0,1,30,54,Geylang,Central Region,19176815
711,27,54,33,f,Shared room,1,6,4,360,Geylang,Central Region,41613235
712,100,103,0,f,Private room,1,0,0,363,Downtown Core,Central Region,49638920
713,39,55,91,t,Private room,1,1,1,328,Geylang,Central Region,34909012
714,57,107,0,f,Private room,1,1,0,365,Novena,Central Region,23380807
715,407,344,97,f,Entire home/apt,2,2,21,334,River Valley,Central Region,24660198
716,700,284,31,f,Entire home/apt,1,1,0,364,Orchard,Central Region,37897119
717,591,103,96,t,Private room,1,1,0,87,Downtown Core,Central Region,53500702
718,145,66,50,f,Private room,1,7,15,116,Kallang,Central Region,9268680
719,88,108,41,f,Private room,1,1,0,82,Rochor,Central Region,31294274
720,69,65,65,f,Private room,1,1,2,175,Ang Mo Kio,North-East Region,4712676
721,165,98,100,f,Private room,1,2,0,364,Toa Payoh,Central Region,52699740
722,185,310,41,f,Entire home/apt,2,2,0,364,Novena,Central Region,42462883
723,155,165,99,t,Entire home/apt,1,1,5,77,Rochor,Central Region,23045739
724,63,64,100,f,Private room,1,2,3,354,Jurong East,West Region,20581173
725,161,150,84,t,Private room,0,1,96,358,Singapore River,Central Region,17928170
726,190,129,97,f,Entire home/apt,0,3,57,284,River Valley,Central Region,15364548
727,389,311,100,f,Entire home/apt,1,1,0,308,Newton,Central Region,39952556
728,225,147,30,f,Entire home/apt,0,1,0,364,Kallang,Central Region,47326826
729,69,92,100,f,Private room,1,1,4,87,Bedok,East Region,20426982
730,117,187,0,f,Entire home/apt,1,1,0,365,Downtown Core,Central Region,27889309
731,88,94,100,f,Private room,1,1,157,181,Outram,Central Region,9746208
732,137,242,95,f,Entire home/apt,2,3,3,116,Novena,Central Region,42720595
733,227,178,100,t,Entire home/apt,0,2,1,359,Novena,Central Region,47295577
