id,new_host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,bedrooms,beds,number_of_reviews,availability_365,price
16309636.0,100.0,f,Outram,Central Region,1.28373,103.84347,Private room,1.0,1.0,69.0,365.0,88.0
16367233.0,0.0,f,Queenstown,Central Region,1.27805,103.78794,Private room,1.0,1.0,0.0,365.0,46.0
16370834.0,91.0,t,Serangoon,North-East Region,1.38703,103.87264,Private room,1.0,1.0,32.0,254.0,90.0
16395877.0,0.0,f,Southern Islands,Central Region,1.25312,103.82374,Entire home/apt,3.0,4.0,0.0,179.0,8900.0
16398174.0,65.0,f,Bukit Batok,West Region,1.35197,103.76697,Private room,1.0,1.0,1.0,0.0,150.0
16413107.0,70.0,t,Geylang,Central Region,1.31337,103.88779,Entire home/apt,1.0,1.0,32.0,133.0,90.0
16424205.0,0.0,f,Bukit Batok,West Region,1.37738,103.7586,Private room,1.0,1.0,9.0,86.0,180.0
16462052.0,0.0,f,Bukit Batok,West Region,1.37723,103.75837,Private room,1.0,1.0,17.0,89.0,160.0
16477283.0,0.0,f,Bukit Batok,West Region,1.37741,103.75807,Private room,1.0,1.0,19.0,91.0,160.0
16495388.0,0.0,f,Bukit Merah,Central Region,1.27329,103.83743,Private room,1.0,1.0,0.0,89.0,200.0
16502098.0,0.0,f,Bedok,East Region,1.31889,103.91243,Private room,0.0,2.0,141.0,116.0,42.0
16503238.0,0.0,f,Bukit Batok,West Region,1.36034,103.76572,Private room,1.0,1.0,1.0,363.0,40.0
16519375.0,92.0,t,River Valley,Central Region,1.29732,103.8397,Private room,2.0,2.0,18.0,338.0,52.0
16522880.0,50.0,f,Outram,Central Region,1.28489,103.84293,Hotel room,1.0,12.0,15.0,116.0,27.0
16524551.0,50.0,f,Outram,Central Region,1.28489,103.84323,Hotel room,1.0,10.0,11.0,116.0,27.0
16537151.0,0.0,f,Clementi,West Region,1.32293,103.7624,Entire home/apt,1.0,1.0,0.0,364.0,350.0
16552273.0,91.0,t,Kallang,Central Region,1.30747,103.86212,Private room,1.0,1.0,1.0,0.0,49.0
16565287.0,75.0,f,Kallang,Central Region,1.31402,103.85493,Private room,1.0,1.0,81.0,242.0,57.0
16578603.0,65.0,f,Yishun,North Region,1.4182,103.83669,Private room,1.0,1.0,2.0,365.0,21.0
16620686.0,75.0,f,Marine Parade,Central Region,1.30902,103.90257,Entire home/apt,2.0,2.0,113.0,300.0,159.0
16621264.0,65.0,f,River Valley,Central Region,1.29666,103.8371,Entire home/apt,1.0,2.0,13.0,0.0,130.0
16650721.0,100.0,f,Sembawang,North Region,1.44154,103.82184,Private room,1.0,1.0,1.0,364.0,121.0
16677104.0,2.0,f,Kallang,Central Region,1.31264,103.85647,Entire home/apt,1.0,2.0,1.0,359.0,245.0
16701352.0,89.0,t,Downtown Core,Central Region,1.27343,103.8456,Entire home/apt,1.0,1.0,35.0,197.0,137.0
16742820.0,86.0,f,River Valley,Central Region,1.29719,103.83861,Hotel room,0.0,1.0,12.0,144.0,141.0
16743909.0,86.0,f,River Valley,Central Region,1.29685,103.83809,Hotel room,0.0,1.0,19.0,144.0,127.0
16750061.0,86.0,f,Orchard,Central Region,1.29899,103.8386,Entire home/apt,1.0,1.0,8.0,134.0,127.0
16758638.0,40.0,t,Bukit Timah,Central Region,1.30961,103.79772,Private room,1.0,1.0,14.0,353.0,105.0
16823251.0,65.0,f,Bukit Merah,Central Region,1.28464,103.82552,Private room,1.0,1.0,38.0,0.0,70.0
16832754.0,40.0,t,Queenstown,Central Region,1.30767,103.7967,Entire home/apt,2.0,2.0,16.0,364.0,276.0
16846533.0,86.0,f,River Valley,Central Region,1.29755,103.83676,Entire home/apt,1.0,1.0,23.0,144.0,126.0
16848828.0,86.0,f,River Valley,Central Region,1.29699,103.83858,Hotel room,1.0,1.0,12.0,123.0,130.0
16881298.0,100.0,f,Sembawang,North Region,1.44241,103.82172,Private room,1.0,1.0,2.0,365.0,102.0
16891958.0,78.0,f,Kallang,Central Region,1.30617,103.8612,Private room,1.0,1.0,233.0,0.0,80.0
16936558.0,65.0,f,River Valley,Central Region,1.29564,103.8338,Entire home/apt,2.0,3.0,89.0,2.0,219.0
16964241.0,50.0,f,Outram,Central Region,1.28299,103.84457,Hotel room,1.0,10.0,36.0,300.0,27.0
16966634.0,91.0,t,Serangoon,North-East Region,1.38565,103.87355,Private room,1.0,2.0,28.0,37.0,90.0
16985394.0,33.0,f,Kallang,Central Region,1.31005,103.85829,Private room,1.0,16.0,2.0,328.0,560.0
16988242.0,97.0,f,Geylang,Central Region,1.3147,103.88163,Private room,1.0,2.0,3.0,328.0,37.0
17004808.0,65.0,f,Ang Mo Kio,North-East Region,1.37464,103.82849,Private room,1.0,1.0,1.0,358.0,35.0
17015281.0,0.0,f,Bedok,East Region,1.31917,103.9431,Private room,1.0,1.0,4.0,116.0,50.0
17037625.0,0.0,f,River Valley,Central Region,1.29846,103.83738,Private room,1.0,1.0,0.0,181.0,137.0
17046048.0,0.0,f,Bedok,East Region,1.32063,103.94539,Private room,1.0,2.0,4.0,164.0,50.0
17053896.0,23.0,f,Geylang,Central Region,1.31198,103.87923,Private room,1.0,2.0,5.0,365.0,45.0
17110437.0,2.0,f,Kallang,Central Region,1.31232,103.85899,Entire home/apt,1.0,2.0,1.0,359.0,245.0
17112396.0,100.0,f,Sembawang,North Region,1.44196,103.8249,Private room,1.0,1.0,0.0,364.0,204.0
17123186.0,81.0,f,Geylang,Central Region,1.31522,103.882,Private room,1.0,1.0,1.0,329.0,59.0
17179470.0,82.0,t,Woodlands,North Region,1.43109,103.77355,Private room,1.0,1.0,12.0,239.0,38.0
17191773.0,84.0,t,Outram,Central Region,1.2833,103.84245,Entire home/apt,1.0,1.0,8.0,365.0,100.0
17275135.0,100.0,t,Newton,Central Region,1.30447,103.83852,Private room,1.0,1.0,15.0,364.0,106.0
17414394.0,65.0,f,Kallang,Central Region,1.31143,103.86067,Shared room,1.0,0.0,16.0,0.0,49.0
17454856.0,75.0,f,Kallang,Central Region,1.31352,103.85333,Private room,2.0,2.0,58.0,249.0,123.0
17483368.0,81.0,f,Kallang,Central Region,1.30784,103.86116,Private room,1.0,1.0,2.0,328.0,59.0
17488373.0,81.0,f,Kallang,Central Region,1.30834,103.86143,Private room,1.0,1.0,1.0,0.0,49.0
17595156.0,0.0,f,Choa Chu Kang,West Region,1.38358,103.74544,Private room,1.0,1.0,24.0,79.0,50.0
17626886.0,81.0,f,Kallang,Central Region,1.3095,103.86144,Private room,1.0,1.0,4.0,0.0,49.0
17627294.0,96.0,f,River Valley,Central Region,1.29781,103.83938,Entire home/apt,1.0,4.0,56.0,269.0,141.0
17641382.0,84.0,t,Outram,Central Region,1.28117,103.84189,Entire home/apt,1.0,1.0,5.0,365.0,115.0
17646003.0,0.0,f,Bukit Merah,Central Region,1.28255,103.82506,Private room,1.0,1.0,0.0,0.0,70.0
17660250.0,65.0,f,Marine Parade,Central Region,1.30345,103.89657,Private room,1.0,1.0,1.0,0.0,65.0
17672050.0,65.0,f,Kallang,Central Region,1.31157,103.86069,Shared room,1.0,16.0,43.0,49.0,34.0
17684352.0,100.0,f,Museum,Central Region,1.30098,103.84488,Entire home/apt,1.0,1.0,47.0,0.0,150.0
17716164.0,100.0,f,Bedok,East Region,1.32141,103.92161,Private room,1.0,1.0,0.0,0.0,92.0
17736530.0,0.0,f,Jurong West,West Region,1.33727,103.69013,Private room,1.0,1.0,32.0,303.0,100.0
17740089.0,65.0,f,Newton,Central Region,1.30571,103.84077,Private room,1.0,2.0,9.0,90.0,65.0
17766467.0,81.0,f,Kallang,Central Region,1.30957,103.86134,Private room,1.0,1.0,2.0,333.0,59.0
17768467.0,82.0,f,Jurong West,West Region,1.34608,103.72186,Private room,1.0,2.0,10.0,332.0,89.0
17769862.0,75.0,f,Kallang,Central Region,1.31358,103.85453,Private room,1.0,2.0,104.0,212.0,56.0
17794853.0,0.0,f,Southern Islands,Central Region,1.25313,103.82118,Entire home/apt,2.0,2.0,0.0,0.0,3000.0
17805144.0,0.0,f,Queenstown,Central Region,1.2926,103.76837,Shared room,1.0,1.0,9.0,80.0,19.0
17856178.0,0.0,f,Geylang,Central Region,1.31628,103.89042,Entire home/apt,2.0,2.0,0.0,358.0,114.0
17868078.0,100.0,t,Rochor,Central Region,1.29803,103.85106,Private room,1.0,1.0,0.0,362.0,80.0
17884419.0,65.0,f,Jurong West,West Region,1.35156,103.69888,Private room,1.0,1.0,7.0,0.0,63.0
17899942.0,2.0,f,Kallang,Central Region,1.31341,103.86042,Entire home/apt,1.0,2.0,1.0,359.0,245.0
17900978.0,17.0,f,Bedok,East Region,1.31763,103.90717,Private room,0.0,1.0,7.0,18.0,30.0
17917998.0,97.0,f,River Valley,Central Region,1.29579,103.83969,Entire home/apt,1.0,1.0,67.0,290.0,158.0
17927897.0,84.0,t,Singapore River,Central Region,1.28742,103.84786,Private room,1.0,1.0,8.0,0.0,179.0
17928170.0,84.0,t,Singapore River,Central Region,1.28738,103.84773,Private room,0.0,1.0,96.0,358.0,161.0
17928273.0,84.0,t,Downtown Core,Central Region,1.28918,103.84934,Private room,1.0,1.0,50.0,350.0,140.0
17929045.0,100.0,f,Downtown Core,Central Region,1.29649,103.85526,Hotel room,0.0,2.0,4.0,0.0,131.0
17929049.0,100.0,f,Downtown Core,Central Region,1.29649,103.85526,Hotel room,0.0,2.0,4.0,0.0,147.0
17929052.0,100.0,f,Downtown Core,Central Region,1.29649,103.85526,Hotel room,0.0,2.0,0.0,0.0,235.0
17929053.0,100.0,f,Downtown Core,Central Region,1.29649,103.85526,Hotel room,0.0,2.0,8.0,0.0,240.0
17929054.0,100.0,f,Downtown Core,Central Region,1.29649,103.85526,Hotel room,0.0,2.0,3.0,0.0,252.0
17929055.0,100.0,f,Downtown Core,Central Region,1.29649,103.85526,Hotel room,0.0,1.0,11.0,0.0,123.0
17929480.0,81.0,f,Outram,Central Region,1.28336,103.84139,Private room,1.0,1.0,0.0,328.0,69.0
17949590.0,0.0,f,Bedok,East Region,1.31738,103.90893,Private room,1.0,1.0,50.0,26.0,40.0
18052476.0,100.0,f,Newton,Central Region,1.31001,103.84101,Private room,1.0,1.0,52.0,81.0,70.0
18081902.0,100.0,t,Orchard,Central Region,1.30236,103.83986,Entire home/apt,0.0,0.0,9.0,365.0,473.0
18085436.0,0.0,f,Serangoon,North-East Region,1.35487,103.8687,Private room,1.0,1.0,0.0,0.0,375.0
18086207.0,100.0,f,Rochor,Central Region,1.30112,103.85232,Entire home/apt,2.0,4.0,9.0,240.0,149.0
18109887.0,0.0,f,Clementi,West Region,1.32,103.76018,Private room,1.0,1.0,15.0,69.0,59.0
18117026.0,9.0,f,Jurong East,West Region,1.33437,103.74177,Private room,1.0,1.0,15.0,168.0,90.0
18151459.0,64.0,t,Jurong West,West Region,1.34443,103.71245,Private room,1.0,1.0,4.0,365.0,58.0
18166182.0,25.0,f,Outram,Central Region,1.27731,103.84322,Entire home/apt,2.0,2.0,4.0,350.0,399.0
18169687.0,88.0,t,Bedok,East Region,1.32551,103.91498,Private room,1.0,1.0,6.0,220.0,130.0
18184250.0,93.0,f,Geylang,Central Region,1.31314,103.88002,Private room,1.0,3.0,117.0,72.0,55.0
18199481.0,84.0,t,Singapore River,Central Region,1.28915,103.84825,Private room,0.0,1.0,10.0,348.0,111.0
