,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id,latitude,longitude
304,235.0,151.0,91.0,f,Hotel room,1.0,2.0,12.0,117.0,Outram,Central Region,34073545.0,1.28239,103.84502
305,470.0,517.0,41.0,f,Entire home/apt,2.0,3.0,0.0,364.0,Singapore River,Central Region,32295511.0,1.29083,103.84284
306,228.0,299.0,7.0,f,Entire home/apt,3.0,3.0,0.0,365.0,Kallang,Central Region,40544836.0,1.3182,103.8523
307,33.0,110.0,100.0,f,Hotel room,1.0,1.0,0.0,0.0,Rochor,Central Region,33604087.0,1.30257,103.8602
308,47.0,106.0,0.0,f,Private room,1.0,1.0,0.0,94.0,Newton,Central Region,44036899.0,1.31535,103.83494
309,192.0,99.0,100.0,t,Private room,1.0,1.0,6.0,362.0,Outram,Central Region,49048346.0,1.27919,103.84514
310,684.0,465.0,100.0,f,Entire home/apt,3.0,4.0,0.0,150.0,River Valley,Central Region,45962895.0,1.29845,103.84129
311,306.0,190.0,0.0,f,Entire home/apt,1.0,1.0,0.0,165.0,Clementi,West Region,46606472.0,1.29869,103.76415
312,147.0,151.0,90.0,f,Hotel room,1.0,1.0,39.0,74.0,Outram,Central Region,26964529.0,1.28316,103.84518
313,51.0,55.0,73.0,t,Private room,1.0,1.0,40.0,337.0,Geylang,Central Region,27406451.0,1.31334,103.88331
